City,Country,Latitude,Longitude
Phnom Penh,Cambodia,N11.5434,E104.8984
Podgorica,Montenegro,N42.4602,E019.2595
Pokhara,Nepal,N28.2096,E83.9856
Port Louis,Mauritius,S20.1654,E057.4896
Port Moresby,Papua New Guinea,S09.4656,E147.1969
Port-au-Prince,Haiti,N18.5392,W072.3288
Porto-Novo,Benin,N06.4779,E002.6323
Prague,Czech Republic,N50.0878,E014.4205
Pretoria,South Africa,S25.746111,E028.188056
Pristina,Kosovo,N42.6740,E021.1788
Pune,India,N18.5167,E73.8562
Puno,Peru,S13.5036,W070.0126
Pyinmana,Burma (Myanmar),N19.7378,E096.2083
Pyongyang,North Korea,N39.0187,E125.7468
Quito,Ecuador,S00.2295,W078.5243
Rabat,Morocco,N33.9905,W006.8704
Riga,Latvia,N56.9465,E024.1049
Riyadh,Saudi Arabia,N24.6748,E046.6977
Rome,Italy,N41.8955,E012.4823
San Jose,Costa Rica,N09.9402,W084.1002
San Juan,Argentina,"S31,5373",W068.5251
San Salvador,El Salvador,N13.7034,W089.2073
Sana'a,Yemen,N15.3556,E044.2081
Santiago,Chile,S33.4691,W070.6420
Santo Domingo,Dominican Republic,N18.4790,W069.8908
Sarajevo,Bosnia and Herzegovina,N43.8608,E018.4214
Seoul,South Korea,N37.5139,E126.9828
Shanghai,China,N31.2304,E121.4737
Shiraz,Iran,N29.61031,E052.53113
Singapore,Singapore,N01.2894,E103.8500
Skardu,Pakistan,N35.1725,E075.3840
Skopje,North Macedonia,N42.0024,E021.4361
Sofia,Bulgaria,N42.7105,E023.3238
Srinagar,India,N34.0837,E074.7973
Stockholm,Sweden,N59.3328,E018.0645
Sydney,Australia,S33.8614,E141.2054
SÃ£o Paulo,Brazil,S23.5505,W46.6333
SÃ£o TomÃ©,SÃ£o TomÃ© and PrÃ­ncipe,N00.3360,E006.7311
Taipei,Taiwan,N25.0338,E121.5645
Tallinn,Estonia,N59.4389,E024.7545
Tashkent,Uzbekistan,N41.3193,E069.2481
Tbilisi,Georgia,N41.7010,E044.7930
Tegucigalpa,Honduras,N14.0821,W087.2063
Tehran,Iran,N35.7117,E051.4070
Thimphu,Bhutan,N27.4660,E089.6419
Tirana,Albania,N41.3317,E019.8172
Tokyo,Japan,N35.6785,E139.6823
Toluca,Mexico,N19.2925,W099.6569
Tripoli,Libya,N32.8830,E013.1897
Tunis,Tunisia,N36.8117,E010.1761
Ulan Bator,Mongolia,N47.9138,E106.9220
Vienna,Austria,N48.2092,E016.3728
Vientiane,Laos,N17.9689,E102.6137
Vilnius,Lithuania,N54.6896,E025.2799
Visakhapatnam,India,N17.7041,E83.2977
Warsaw,Poland,N52.2297,E021.0122
Washington D.C.,United States,N38.8921,W077.0241
Wellington,New Zealand,S41.2865,E174.7762
Windhoek,Namibia,S22.5749,E017.0805
Yamoussoukro,CÃ´te d'Ivoire,N06.8067,W005.2728
YaoundÃ©,Cameroon,N03.8612,E011.5217
Yerevan,Armenia,N40.1596,E044.5090
Zagreb,Croatia,N45.8150,E015.9785
