,State,Post_Full_Name,Google_Map_Url
0,Bermuda,U.S. Consulate in Hamilton,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3372.612488962896!2d-64.77029974967265!3d32.29539498102744!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8a2d147c66684bef%3A0x976b021acf07e439!2sUnited+States+of+America+Consulate+General!5e0!3m2!1sen!2sus!4v1461872474568
1,Bosnia & Herzegovina,U.S. Embassy in Sarajevo,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2876.9596748402596!2d18.398199750701693!3d43.856664479012416!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4758c9212532b899%3A0xe5eb18200e511e50!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1475872155354
3,Bolivia,U.S. Embassy in La Paz,
0,Botswana,U.S. Embassy Gaborone,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3625.9089866123527!2d25.90648851606914!3d-24.661260909013087!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1ebb5bafaa17cf27%3A0x53662b5b008aa3a9!2sUS+Embassy!5e0!3m2!1sen!2sus!4v1473275921079
1,Brazil,U.S. Embassy in Brasilia,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3838.9920465240443!2d-47.87494718594563!3d-15.80437338904502!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x935a3004c67e64c9%3A0x579baad0de5c7e00!2sUnited+States+Embassy!5e0!3m2!1sen!2sus!4v1448981798164
2,Brazil,U.S. Consulate in Porto Alegre,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3454.865928455919!2d-51.170603185102486!3d-30.012005881894144!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x951977706fbd1a9b%3A0x3a1cbf3f1eb6d969!2sAv.+Assis+Brasil%2C+1889+-+Passo+d'Areia%2C+Porto+Alegre+-+RS%2C+91010-004!5e0!3m2!1sen!2sbr!4v1490034081949
3,Brazil,U.S. Consulate General in Recife,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3950.4306358602466!2d-34.89513298604406!3d-8.057479794198347!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x7ab189453c5f081%3A0x1fcfcf565d5cbb71!2sConsulado+dos+EUA+no+Recife!5e0!3m2!1sen!2sus!4v1448981880136
4,Brazil,U.S. Consulate General in Rio de Janeiro,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3675.050820722534!2d-43.17603538580082!3d-22.9114962850094!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x9981df4f0094ed%3A0x54815445764cb3cb!2sConsulado+Geral+dos+EUA+no+Rio+de+Janeiro!5e0!3m2!1sen!2sus!4v1448981918008
5,Brazil,U.S. Consulate General in Sao Paulo,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d29242.405426999398!2d-46.71500176726864!3d-23.629400686822922!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x94ce562a6b5b610f%3A0x5ef97b48f74f0e92!2sConsulado+Americano!5e0!3m2!1sen!2sus!4v1448981974474
6,Brunei,U.S. Embassy in Bandar Seri Begawan,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d15900.483811304017!2d114.956281!3d4.919424!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xc5d1b18117f0898d!2sU.S.+Embassy!5e0!3m2!1sen!2sus!4v1476150245740
0,Bulgaria,U.S. Embassy in Sofia,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2933.7404925212763!2d23.310085350655804!3d42.66685437906526!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x91568c8c47eb9797!2sUS+Embassy!5e0!3m2!1sen!2sus!4v14758722161974
1,Burkina Faso,U.S. Embassy in Ouagadougou,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d78247.0611438673!2d-1.5370534984062096!3d12.251802140547836!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xe2ebda38668cc6d%3A0x249f554e43027257!2sEmbassy+of+the+United+States+Ouagadougou!5e0!3m2!1sen!2sus!4v1466394961931
2,Burma,U.S. Embassy in Rangoon,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d15276.07961975294!2d96.1444142!3d16.8253686!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x74899cac54a23d60!2sEmbassy+of+the+United+States!5e0!3m2!1sen!2sus!4v1450461289064
0,Burundi,U.S. Embassy in Bujumbura,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3982.92613955644!2d29.380263715846144!3d-3.368231542392924!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xb0625f4dbc9de65a!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1474993543883F8
1,Cabo Verde,U.S. Embassy in Praia,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3855.2862789797196!2d-23.50859068535588!3d14.92113557314168!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x93598e191706365%3A0x1a4a3161a1a8b841!2sUnited+States+Embassy!5e0!3m2!1sen!2sus!4v1475064157640
2,Cambodia,U.S. Embassy in Phnom Penh,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d31271.252197496648!2d104.88081813752557!3d11.55855851769707!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3109514361a6a399%3A0x2b9cd1845e900364!2sEmbassy+of+the+United+States+of+America!5e0!3m2!1sen!2sus!4v1458677006254
0,Canada,U.S. Embassy in Ottawa,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2800.0769430796277!2d-75.69805418493372!3d45.42795027910043!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4cce04fdce9bc1cb%3A0x8e661cf7a132e62c!2s490+Sussex+Dr%2C+Ottawa%2C+ON+K1N+1G8%2C+Canada!5e0!3m2!1sen!2sus!4v1446576793060
