Post_Full_Name,Risk,Longitude,Latitude
American Institute in Taiwan,91.43361536954693,121.5645,25.0338
Consular Agency in Poznan,82.63966531464946,16.927380015922793,52.407795452290735
Embassy of the United States of America,73.15537886105729,-0.1329255641756811,51.48243306422879
U.S. Consular Agency Bali,74.19577014648222,115.24215101438658,-8.672833990682461
U.S. Consulate Adana,83.0774494610036,35.3848218149961,36.98352556505883
U.S. Consulate Bordeaux,67.13513952434401,-0.56857998497452,44.85410907909841
U.S. Consulate General Almaty,98.45804785964096,76.95201335031406,43.233638987376175
U.S. Consulate General Amsterdam,76.51420766686479,4.882063,52.356181
U.S. Consulate General Casablanca,54.06186713126762,-7.626588,33.590838
U.S. Consulate General Chiang Mai,91.87265520428312,98.998685,18.79412
U.S. Consulate General Florence,73.4927445026151,11.238509414763548,43.77365535265248
U.S. Consulate General Guayaquil,13.892247231383696,-79.94002108545662,-2.190321437897651
U.S. Consulate General Istanbul,81.95145576939763,29.0443211154174,41.11749587928979
U.S. Consulate General Karachi,90.45312530910846,67.00740971413214,24.84119765214914
U.S. Consulate General Lahore,95.06190035729848,74.33401361430799,31.5601682523353
U.S. Consulate General Marseille,69.46997418505666,5.364160330718974,43.288518314649394
U.S. Consulate General Milan,73.4291756744737,9.191923814832595,45.47510094073826
U.S. Consulate General Peshawar,95.45746615144026,71.53478281438282,34.00574362762821
U.S. Consulate General Strasbourg,74.92698603073839,7.759350915187412,48.58696377926187
U.S. Consulate General Surabaya,75.36927142137682,112.64595001518664,-7.283718773607407
U.S. Consulate General in Alexandria,77.13297952628686,30.017697,31.24555
U.S. Consulate General in Basrah,86.2854385113725,47.81,30.515
U.S. Consulate General in Belfast,73.49036643611093,-5.9422437,54.5705791
U.S. Consulate General in Calgary,58.04358772016798,-114.0603911846858,51.04656497956204
U.S. Consulate General in Chennai,86.56180772107658,80.24973505012338,13.052359116588155
U.S. Consulate General in Ciudad Juarez,38.756176071610646,-106.487014,31.738581
U.S. Consulate General in Curacao,21.703733390006104,-68.92806705015425,12.108160536469793
U.S. Consulate General in Dhahran,85.19998550774635,50.15211701444141,26.304454792343083
U.S. Consulate General in Düsseldorf,76.52855441441324,6.79570647,51.21863818
U.S. Consulate General in Edinburgh,76.20774852876771,-3.1778503,55.954306900000006
U.S. Consulate General in Erbil,87.03109669455029,44.009189,36.191188
U.S. Consulate General in Frankfurt,76.6355183736859,8.682222,50.110556
U.S. Consulate General in Guadalajar,30.2751444704338,-103.3475,20.676667
U.S. Consulate General in Guangzhou,92.27399346037703,113.26,23.13
U.S. Consulate General in Halifax,47.54139581742426,-63.576402884196376,44.65239929526168
U.S. Consulate General in Hamburg,80.13546751932715,10.0,53.55
U.S. Consulate General in Hermosillo,37.385145786920035,-110.954167,29.098889
U.S. Consulate General in Hong Kong,91.89356038927612,114.1414502758681,22.28677373594902
U.S. Consulate General in Hyderabad,88.96253685437011,78.47482025016731,17.442523805745555
U.S. Consulate General in Jeddah,76.65656821086141,39.16193271434716,21.526284675984357
U.S. Consulate General in Kolkata,93.08578389951964,88.3473489502395,22.551000939374266
U.S. Consulate General in Krakow,82.47967980460938,19.9391029,50.0600644
U.S. Consulate General in Leipzig,79.55617262639242,12.375,51.34
U.S. Consulate General in Matamoros,33.292793872011664,-97.50320479,25.88700974
U.S. Consulate General in Merida,29.221172771704207,-89.62002094,20.99083555
U.S. Consulate General in Monterrey,33.43411276879814,-100.3,25.666667
U.S. Consulate General in Montreal,48.270380741744056,-73.57542628444138,45.49943997910136
U.S. Consulate General in Mumbai,88.74937377195955,72.8661483501878,19.065034557208715
