,State,Post_Full_Name,Latitude,Longitude
86,Germany,U.S. Embassy in Berlin,52.5235,013.4115
87,Germany,U.S. Consulate General in Düsseldorf,51.21863818,6.79570647
88,Germany,U.S. Consulate General in Frankfurt,50.110556,8.682222
89,Germany,U.S. Consulate General in Hamburg,53.55,10.0
90,Germany,U.S. Consulate General in Leipzig,51.34,12.375
91,Germany,U.S. Consulate General in Munich,48.1375,11.575
92,Ghana,U.S. Embassy in Accra,5.575553206061542,-0.17835773036791813
93,Greece,U.S. Embassy in Athens,37.982039334998994,23.74669424133668
94,Greece,U.S. Consulate in Thessaloniki,40.633251679340525,22.940211115308642
95,Guatemala,U.S. Embassy in Guatemala City,14.6248,-090.5328
96,Guinea-Bissau,U.S. Virtual Consulate in Guinea-Bissau,14.704710009473104,-17.516996741291123
97,Guyana,U.S. Embassy in Georgetown,6.823080095044522,-58.16315469996067
98,Guinea,U.S. Embassy Conakry,09.5370,-013.6785
99,Haiti,U.S. Embassy in Port-au-Prince,18.564203472684127,-72.25316678538026
100,Honduras,U.S. Embassy Tegucigalpa,14.103078392854044,-87.19214498442403
101,Holy See,U.S. Embassy to the Holy See,41.903333,12.453333
102,Hong Kong and Macau,U.S. Consulate General in Hong Kong,22.28677373594902,114.1414502758681
103,Hungary,U.S. Embassy in Budapest,47.50447497907593,19.049127950848646
104,Iceland,U.S. Embassy in Reykjavik,64.14460802302551,-21.940093284008785
105,India,U.S. Embassy in New Delhi,28.59275369254548,77.18614975035345
106,India,U.S. Consulate General in Chennai,13.052359116588155,80.24973505012338
107,India,U.S. Consulate General in Hyderabad,17.442523805745555,78.47482025016731
108,India,U.S. Consulate General in Kolkata,22.551000939374266,88.3473489502395
109,India,U.S. Consulate General in Mumbai,19.065034557208715,72.8661483501878
110,Indonesia,U.S. Embassy Jakarta,-6.181246662288807,106.82799831517752
111,Indonesia,U.S. Consulate General Surabaya,-7.283718773607407,112.64595001518664
112,Indonesia,U.S. Consulate Medan,-7.613783077380901,111.89607071518955
113,Indonesia,U.S. Consular Agency Bali,-8.672833990682461,115.24215101438658
114,Iran,U.S. Embassy in Tehran,35.77150833252614,51.46297835054143
115,Iraq,U.S. Embassy in Baghdad,33.3157,044.3922
116,Iraq,U.S. Consulate General in Basrah,30.515,47.81
117,Iraq,U.S. Consulate General in Erbil,36.191188,44.009189
118,Ireland,U.S. Embassy in Dublin,53.3441,-006.2675
119,Israel,U.S. Embassy Jerusalem,31.748239681294894,35.22292081605138
120,Italy,U.S. Embassy Rome,41.90658577161134,12.488580514690454
121,Italy,U.S. Consulate General Florence,43.77365535265248,11.238509414763548
122,Italy,U.S. Consulate General Milan,45.47510094073826,9.191923814832595
123,Italy,U.S. Consulate General in Naples,40.83118183825395,14.223740714649724
124,Jamaica,U.S. Embassy in Kingston,18.01845898764298,-76.76704555003995
125,Jordan,U.S. Embassy in Amman,31.945183933239388,35.87836691444528
126,Kazakhstan,U.S. Embassy in Astana,51.1294235459901,71.46579625065156
127,Kazakhstan,U.S. Consulate General Almaty,43.233638987376175,76.95201335031406
128,Japan,U.S. Embassy in Tokyo,35.6785,139.6823
129,Kosovo,U.S. Embassy in Pristina,42.661995,21.150551
130,Kuwait,U.S. Embassy Kuwait City,29.291608,48.046873
131,Kenya,U.S. Embassy Nairobi,-01.2762,036.7965
132,Kyrgyz Republic,U.S. Embassy in Bishkek,42.827776,74.582561
133,Laos,U.S. Embassy Vientiane,17.930803913316023,102.5908137666463
134,Latvia,U.S. Embassy in Riga,56.93049718088476,24.02705041558279
135,Lebanon,U.S. Embassy in Beirut,33.8872,035.5134
136,Liberia,U.S. Embassy in Monrovia,6.316462995406253,-10.81559835039078
137,Lesotho,U.S. Embassy in Maseru,-29.2976,027.4854
